"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","TEMP","TEMP_ATTRIBUTES","DEWP","DEWP_ATTRIBUTES","SLP","SLP_ATTRIBUTES","STP","STP_ATTRIBUTES","VISIB","VISIB_ATTRIBUTES","WDSP","WDSP_ATTRIBUTES","MXSPD","GUST","MAX","MAX_ATTRIBUTES","MIN","MIN_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNDP","FRSHTT"
"72349513987","2011-01-23","37.15221","-94.49527","296.3","JOPLIN REGIONAL AIRPORT, MO US","  33.1","24","  26.7","24","1015.2","23","979.2","24","  7.7","24","  6.4","23"," 11.1","999.9","  39.9"," ","  21.9"," "," 0.00","G","999.9","000000"
"72349513987","2011-01-24","37.15221","-94.49527","296.3","JOPLIN REGIONAL AIRPORT, MO US","  27.0","24","  20.4","24","1019.7","22","983.1","24","  6.4","24","  4.8","24","  7.0","999.9","  42.1"," ","  21.0"," "," 0.00","G","999.9","000000"
"72349513987","2011-01-25","37.15221","-94.49527","296.3","JOPLIN REGIONAL AIRPORT, MO US","  29.8","24","  22.5","24","1021.4","23","984.9","24","  6.6","24","  1.6","23","  7.0","999.9","  42.1"," ","  19.0"," "," 0.00","G","999.9","000000"
"72349513987","2011-01-26","37.15221","-94.49527","296.3","JOPLIN REGIONAL AIRPORT, MO US","  31.8","24","  23.6","24","1019.0","24","982.6","24"," 10.0","24","  6.9","23"," 12.0","999.9","  42.1"," ","  24.1"," "," 0.00","G","999.9","000000"
"72349513987","2011-01-27","37.15221","-94.49527","296.3","JOPLIN REGIONAL AIRPORT, MO US","  32.7","24","  23.2","24","1017.9","20","981.8","24","  6.1","24","  7.2","24"," 15.9"," 21.0","  53.1","*","  17.6","*"," 0.00","G","999.9","000000"
"72349513987","2011-01-28","37.15221","-94.49527","296.3","JOPLIN REGIONAL AIRPORT, MO US","  43.3","24","  30.8","24","1014.4","24","978.5","24","  9.9","24","  6.0","23"," 13.0"," 17.1","  64.9"," ","  26.1"," "," 0.00","G","999.9","000000"
"72349513987","2011-01-29","37.15221","-94.49527","296.3","JOPLIN REGIONAL AIRPORT, MO US","  50.7","24","  26.9","24","1012.5","24","977.1","24","  9.8","24","  5.1","24"," 12.0"," 20.0","  73.0"," ","  28.0"," "," 0.00","G","999.9","000000"
"72349513987","2011-01-30","37.15221","-94.49527","296.3","JOPLIN REGIONAL AIRPORT, MO US","  36.1","24","  27.9","24","1017.5","23","981.7","24","  7.9","24","  8.4","24"," 14.0"," 19.0","  59.0","*","  30.2","*"," 0.00","G","999.9","000000"
"72349513987","2011-01-31","37.15221","-94.49527","296.3","JOPLIN REGIONAL AIRPORT, MO US","  36.7","24","  32.3","24","1017.4","12","981.1","24","  4.1","24","  5.5","24","  9.9"," 21.0","  42.1"," ","  33.1"," "," 0.00","G","999.9","100000"
"72349513987","2011-02-01","37.15221","-94.49527","296.3","JOPLIN REGIONAL AIRPORT, MO US","  21.5","24","  19.3","24","1016.6","12","979.8","24","  2.2","24"," 13.9","24"," 22.0"," 52.1","  35.1"," ","  12.9"," "," 0.28","G","999.9","101000"
